Pos,,Club,W,D,L,GD,Pts,Total payment
1,,Manchester City,32,4,2,+79,100,£149.4m
2,,Manchester United,25,6,7,+40,81,£149.8m
3,,Tottenham Hotspur,23,8,7,+38,77,£144.4m
4,,Liverpool,21,12,5,+46,75,£145.9m
5,,Chelsea,21,7,10,+24,70,£141.7m
6,,Arsenal,19,6,13,+23,63,£142.0m
7,,Burnley,14,12,12,-3,54,£119.8m
8,,Everton,13,10,15,-14,49,£128.0m
9,,Leicester City,12,11,15,-4,47,£118.2m
10,,Newcastle United,12,8,18,-8,44,£123.0m
"",125,,,,,,,
"",EY ARS,,,,,,,
11,,Crystal Palace,11,11,16,-10,44,£114.3m
12,,AFC Bournemouth,11,11,16,-16,44,£111.2m
13,,West Ham United,10,12,16,-20,42,£116.1m
14,,Watford,11,8,19,-20,41,£106.3m
15,,Brighton & Hove Albion,9,13,16,-20,40,£107.7m
16,,Huddersfield Town,9,10,19,-30,37,£102.4m
17,,Southampton,7,15,16,-19,36,£107.2m
18,,Swansea City,8,9,21,-28,33,£98.5m
19,,Stoke City,7,12,19,-33,33,£98.9m
20,,West Bromwich Albion,6,13,19,-25,31,£94.7m
